"","census_tra","censusTract","group","lat","lon","color"
"1",250600,250600,4,41.905693456757,-87.7706325624542,"#AA0055"
"2",381300,381300,1,41.8093668421105,-87.61737159132,"#0000FF"
"3",560200,560200,3,41.8112835665949,-87.7477843391527,"#71008D"
"4",671300,671300,2,41.7739019655867,-87.6713496241455,"#3800C6"
"5",691100,691100,2,41.7617024101738,-87.6298717335287,"#3800C6"
"6",710700,710700,2,41.7471105809098,-87.6568842359358,"#3800C6"
"7",240300,240300,1,41.9123643627011,-87.6750627566514,"#0000FF"
"8",390400,390400,3,41.8059250275656,-87.6040586270847,"#71008D"
"9",491000,491000,2,41.6997569182638,-87.6280852866912,"#3800C6"
"10",520200,520200,3,41.7136556795765,-87.5399155977182,"#71008D"
"11",540100,540100,2,41.6601540887936,-87.6028200181939,"#3800C6"
"12",81700,81700,2,41.8920422367478,-87.6318639554142,"#3800C6"
"13",251100,251100,2,41.8986254734992,-87.7520115652165,"#3800C6"
"14",330500,330500,5,41.8482847115295,-87.6163721906483,"#E2001C"
"15",370300,370300,1,41.8054682753776,-87.632373613322,"#0000FF"
"16",431300,431300,2,41.7560530628025,-87.5615638808274,"#3800C6"
"17",612200,612200,3,41.7980306139363,-87.6403945847734,"#71008D"
"18",80600,80600,4,41.9071978794615,-87.6531144830925,"#AA0055"
"19",283600,283600,1,41.8631457800414,-87.6403305597594,"#0000FF"
"20",730100,730100,3,41.7251769364091,-87.6384771853601,"#71008D"
"21",280200,280200,3,41.8853508378168,-87.6521333466107,"#71008D"
"22",671500,671500,2,41.7681843778352,-87.6695610813366,"#3800C6"
"23",170200,170200,1,41.9493532650334,-87.781519083994,"#0000FF"
"24",681400,681400,2,41.7616128950861,-87.6492088277364,"#3800C6"
"25",301800,301800,2,41.8420370534472,-87.7314750932522,"#3800C6"
"26",231200,231200,2,41.8990616545292,-87.7213159023764,"#3800C6"
"27",260700,260700,2,41.8770569084304,-87.7279963676317,"#3800C6"
"28",191200,191200,4,41.9201264482163,-87.7607889332156,"#AA0055"
"29",520100,520100,3,41.7204640505919,-87.5313864984145,"#71008D"
"30",640300,640300,3,41.7815317324798,-87.7716332045847,"#71008D"
"31",243100,243100,5,41.8923551052074,-87.6745067910421,"#E2001C"
"32",260500,260500,2,41.8765231453278,-87.7377094697404,"#3800C6"
"33",210500,210500,4,41.9355033801619,-87.7221843896601,"#AA0055"
"34",71200,71200,1,41.9218549702277,-87.6462109806328,"#0000FF"
"35",281300,281300,1,41.8787342517151,-87.679024549552,"#0000FF"
"36",81800,81800,4,41.8932164850675,-87.6378442396385,"#AA0055"
"37",260600,260600,2,41.8770442703812,-87.7328887992232,"#3800C6"
"38",81500,81500,1,41.892507867001,-87.6262149003821,"#0000FF"
"39",750600,750600,4,41.6886315928073,-87.6520492668334,"#AA0055"
"40",210400,210400,1,41.9357451075924,-87.7303017938884,"#0000FF"
"41",292400,292400,4,41.8552382570152,-87.7224042777719,"#AA0055"
"42",460300,460300,2,41.7440634055464,-87.556950839802,"#3800C6"
"43",430100,430100,2,41.769564908249,-87.5692585154806,"#3800C6"
"44",530100,530100,4,41.6818559498377,-87.617931038497,"#AA0055"
"45",301600,301600,4,41.8407574759462,-87.7122519206643,"#AA0055"
"46",670600,670600,3,41.7830059086929,-87.6715775930428,"#71008D"
"47",410900,410900,5,41.7971534062108,-87.5823657389433,"#E2001C"
"48",671200,671200,4,41.7766994363839,-87.6665824565328,"#AA0055"
"49",690500,690500,4,41.7681809839222,-87.6121025446529,"#AA0055"
"50",700400,700400,4,41.7423445372914,-87.7119424436088,"#AA0055"
"51",160800,160800,3,41.9502121281939,-87.7128142333808,"#71008D"
"52",710600,710600,2,41.7476603300961,-87.660943067902,"#3800C6"
"53",161200,161200,1,41.9425542722257,-87.7385692285349,"#0000FF"
"54",660900,660900,2,41.7681060498625,-87.6980007921929,"#3800C6"
"55",430500,430500,2,41.764243439036,-87.5812710176145,"#3800C6"
"56",681100,681100,2,41.7687668698098,-87.6493598049842,"#3800C6"
"57",191300,191300,2,41.9202068297426,-87.7755906355086,"#3800C6"
"58",440100,440100,2,41.7439140392589,-87.6011299900487,"#3800C6"
"59",460600,460600,3,41.7356329159188,-87.5595140581276,"#71008D"
"60",470100,470100,3,41.728182234486,-87.5964756679198,"#71008D"
"61",31700,31700,3,41.9654458334487,-87.6631958636401,"#71008D"
"62",210200,210200,3,41.9430036066688,-87.7127822254563,"#71008D"
"63",281900,281900,1,41.8792550866182,-87.6426490034821,"#0000FF"
"64",440400,440400,4,41.7443310410491,-87.6306759220534,"#AA0055"
"65",170700,170700,5,41.9414908941119,-87.8221709941232,"#E2001C"
"66",411200,411200,5,41.790566722395,-87.5940154493617,"#E2001C"
"67",650500,650500,3,41.7622469273048,-87.7320590460328,"#71008D"
"68",140300,140300,4,41.9716619604588,-87.7236128687945,"#AA0055"
"69",330100,330100,3,41.8593499612767,-87.6173581039579,"#71008D"
"70",230600,230600,2,41.906167855639,-87.7338570183155,"#3800C6"
"71",610400,610400,4,41.8103987590759,-87.667449123848,"#AA0055"
"72",480500,480500,3,41.7275604724516,-87.5590605419165,"#71008D"
"73",530200,530200,2,41.6815615794725,-87.63239624265,"#3800C6"
"74",530300,530300,4,41.6813147091015,-87.6517530557163,"#AA0055"
"75",672000,672000,2,41.7612780656214,-87.6710020031318,"#3800C6"
"76",740100,740100,5,41.697269670224,-87.6985820743613,"#E2001C"
"77",242300,242300,1,41.8995066065368,-87.679600289455,"#0000FF"
"78",242800,242800,5,41.8925598317765,-87.6903129034387,"#E2001C"
"79",140700,140700,4,41.9647643925169,-87.7132541505213,"#AA0055"
"80",150200,150200,3,41.9606759354751,-87.7524091493752,"#71008D"
"81",460200,460200,4,41.7413866549326,-87.5470098416705,"#AA0055"
"82",730200,730200,2,41.7266357974706,-87.6535379343279,"#3800C6"
"83",70300,70300,1,41.9290469953139,-87.651310880555,"#0000FF"
"84",381500,381500,3,41.8101928981849,-87.6228623613314,"#71008D"
"85",421000,421000,1,41.7771881817198,-87.5939983777558,"#0000FF"
"86",660800,660800,2,41.7736411610819,-87.6932650971792,"#3800C6"
"87",382000,382000,4,41.8058540334211,-87.6089290023583,"#AA0055"
"88",280500,280500,3,41.8858550066615,-87.6816624655496,"#71008D"
"89",222000,222000,5,41.9160040755084,-87.6751465773538,"#E2001C"
"90",241500,241500,1,41.9083786819337,-87.6709451327868,"#0000FF"
"91",242600,242600,4,41.900560499727,-87.6941973886107,"#AA0055"
"92",350400,350400,1,41.8419280906592,-87.6283665134782,"#0000FF"
"93",710200,710200,2,41.755174346742,-87.6514091285323,"#3800C6"
"94",190700,190700,4,41.9276898242788,-87.7612002763344,"#AA0055"
"95",10800,10800,3,42.0019169832774,-87.674583991266,"#71008D"
"96",420800,420800,2,41.7769106023117,-87.6032571580866,"#3800C6"
"97",611200,611200,4,41.8049947701593,-87.662441756869,"#AA0055"
"98",710800,710800,2,41.7478370526078,-87.6488131231533,"#3800C6"
"99",460400,460400,4,41.7444909022678,-87.563692600554,"#AA0055"
"100",611700,611700,4,41.7975994420827,-87.6719765245194,"#AA0055"
"101",680300,680300,4,41.7907048453099,-87.642669146945,"#AA0055"
"102",51400,51400,1,41.9357495120911,-87.6809802902234,"#0000FF"
"103",660200,660200,2,41.7828365968896,-87.6886157074502,"#3800C6"
"104",200400,200400,4,41.9197323172035,-87.733687524614,"#AA0055"
"105",630800,630800,4,41.7899657808411,-87.6985727130935,"#AA0055"
"106",171000,171000,1,41.9418075286701,-87.796523770075,"#0000FF"
"107",690400,690400,2,41.769245091414,-87.6201776400653,"#3800C6"
"108",750100,750100,4,41.6958343087122,-87.6520311880568,"#AA0055"
"109",190100,190100,1,41.935214864028,-87.7443896172807,"#0000FF"
"110",200200,200200,3,41.9278532005811,-87.7356259845309,"#71008D"
"111",520300,520300,3,41.7011117482413,-87.5395607021986,"#71008D"
"112",570400,570400,3,41.8049843015329,-87.7191064516807,"#71008D"
"113",612100,612100,4,41.7979126141439,-87.6476811130639,"#AA0055"
"114",620100,620100,1,41.7979664264239,-87.7180594327285,"#0000FF"
"115",650100,650100,1,41.7823767978843,-87.7178554582413,"#0000FF"
"116",190400,190400,4,41.9347939978625,-87.776097966424,"#AA0055"
"117",291800,291800,3,41.8581374911775,-87.7074580278064,"#71008D"
"118",370400,370400,3,41.7981652416878,-87.6321164886593,"#71008D"
"119",271200,271200,4,41.8773600216158,-87.7035622985071,"#AA0055"
"120",681300,681300,2,41.7611663587138,-87.6398754984269,"#3800C6"
"121",230900,230900,2,41.9066840014635,-87.7103539582218,"#3800C6"
"122",400300,400300,4,41.7930990560738,-87.6131898609866,"#AA0055"
"123",350200,350200,1,41.8420550850477,-87.6196099707903,"#0000FF"
"124",151200,151200,5,41.942169449109,-87.771495529378,"#E2001C"
"125",680400,680400,2,41.790632633286,-87.6474942351081,"#3800C6"
"126",460500,460500,2,41.7468833343471,-87.5726075452285,"#3800C6"
"127",370100,370100,3,41.8200218631456,-87.6326287885771,"#71008D"
"128",700300,700300,3,41.7419225281536,-87.7315066569674,"#71008D"
"129",30100,30100,4,41.9941343532279,-87.657386415528,"#AA0055"
"130",60700,60700,5,41.9528438014938,-87.6520753322736,"#E2001C"
"131",270800,270800,3,41.8819615402266,-87.6987705410965,"#71008D"
"132",40200,40200,1,41.9758498027119,-87.6940437474787,"#0000FF"
"133",381800,381800,3,41.8038507692138,-87.6212199871332,"#71008D"
"134",750500,750500,4,41.6846151076894,-87.6712503714522,"#AA0055"
"135",300700,300700,4,41.848072288303,-87.7124503528216,"#AA0055"
"136",430800,430800,1,41.7607504276007,-87.5712986554421,"#0000FF"
"137",430200,430200,2,41.7696904998799,-87.5813495090531,"#3800C6"
"138",251800,251800,2,41.8841446600543,-87.7478743462758,"#3800C6"
"139",691400,691400,2,41.7548461346455,-87.6101685869166,"#3800C6"
"140",520600,520600,1,41.6895382327289,-87.5403971609053,"#0000FF"
"141",611100,611100,3,41.8050593244489,-87.657581717944,"#71008D"
"142",310800,310800,4,41.8559344237916,-87.6685745399814,"#AA0055"
"143",301900,301900,1,41.8288348556524,-87.7317539820893,"#0000FF"
"144",611500,611500,3,41.8054208706684,-87.6786661107254,"#71008D"
"145",500200,500200,4,41.7008889535833,-87.6000923937207,"#AA0055"
"146",700100,700100,3,41.753636181496,-87.6954008692748,"#71008D"
"147",730700,730700,3,41.7030819801003,-87.650079235644,"#71008D"
"148",290300,290300,1,41.8677967497509,-87.7032676526569,"#0000FF"
"149",611300,611300,4,41.8049361410672,-87.6673042602406,"#AA0055"
"150",110500,110500,1,41.9739917069534,-87.7612449358412,"#0000FF"
"151",140100,140100,3,41.9711428392972,-87.7057767328576,"#71008D"
"152",490600,490600,3,41.7179637047547,-87.6283572643357,"#71008D"
"153",370200,370200,3,41.8127816686118,-87.6325783786795,"#71008D"
"154",100500,100500,5,41.9780681379365,-87.8197889941126,"#E2001C"
"155",190300,190300,3,41.9349868865549,-87.761463378358,"#71008D"
"156",230500,230500,4,41.911666523517,-87.7339510007635,"#AA0055"
"157",580400,580400,4,41.8152741899966,-87.7091933025733,"#AA0055"
"158",420100,420100,1,41.7830341108393,-87.5826303524982,"#0000FF"
"159",271300,271300,4,41.8773046793719,-87.708453007169,"#AA0055"
"160",351300,351300,3,41.827410354541,-87.6199637017493,"#71008D"
"161",440800,440800,3,41.7317899320392,-87.6032654562737,"#71008D"
"162",660700,660700,2,41.7738454494903,-87.6810423677693,"#3800C6"
"163",480400,480400,4,41.7284486605318,-87.5754397908737,"#AA0055"
"164",660300,660300,2,41.7826864795625,-87.6983662094013,"#3800C6"
"165",730300,730300,3,41.7274358262935,-87.6645273850979,"#71008D"
"166",700500,700500,4,41.7424685941385,-87.6895260722446,"#AA0055"
"167",330200,330200,1,41.8612810441271,-87.6305801349652,"#0000FF"
"168",660600,660600,2,41.7772871041638,-87.6933412442532,"#3800C6"
"169",271100,271100,4,41.8774123899323,-87.6986498541479,"#AA0055"
"170",252200,252200,2,41.8767373378781,-87.7474158870836,"#3800C6"
"171",300900,300900,4,41.8481797167378,-87.702699358975,"#AA0055"
"172",460700,460700,2,41.7355812573988,-87.5492843747597,"#3800C6"
"173",221400,221400,1,41.9208017645414,-87.6945323835165,"#0000FF"
"174",60200,60200,5,41.9579039571231,-87.6715180139851,"#E2001C"
"175",160600,160600,3,41.9575928546814,-87.7013062512231,"#71008D"
"176",431200,431200,4,41.7553016681784,-87.5711847405352,"#AA0055"
"177",530500,530500,2,41.6677999536213,-87.6333924512894,"#3800C6"
"178",260800,260800,2,41.877100992733,-87.7230765639489,"#3800C6"
"179",243500,243500,1,41.8926581411628,-87.652534486959,"#0000FF"
"180",200300,200300,1,41.9234788685599,-87.7341424681801,"#0000FF"
"181",210700,210700,1,41.9357065197258,-87.703854547604,"#0000FF"
"182",230300,230300,1,41.9117848073384,-87.7149889905052,"#0000FF"
"183",251900,251900,2,41.8837935142104,-87.7600980517761,"#3800C6"
"184",310900,310900,4,41.8558062176539,-87.6746905870409,"#AA0055"
"185",380800,380800,3,41.8138794370933,-87.6190248345707,"#71008D"
"186",320300,320300,5,41.8813127022619,-87.6330214903506,"#E2001C"
"187",340600,340600,3,41.8274372766008,-87.6325587835539,"#71008D"
"188",460100,460100,2,41.7430651065809,-87.5399551771334,"#3800C6"
"189",290200,290200,3,41.8678501381982,-87.6983846271841,"#71008D"
"190",180200,180200,1,41.9272354085935,-87.7983899041415,"#0000FF"
"191",700200,700200,3,41.7529729645535,-87.7239136032254,"#71008D"
"192",291200,291200,4,41.8626615059992,-87.7128745842602,"#AA0055"
"193",291400,291400,4,41.8627990268829,-87.7006866221146,"#AA0055"
"194",691300,691300,4,41.7546793657368,-87.6198449915643,"#AA0055"
"195",252100,252100,2,41.8759806222508,-87.7652577232548,"#3800C6"
"196",480100,480100,1,41.7352516995972,-87.5754192974782,"#0000FF"
"197",270500,270500,4,41.8762236184513,-87.7177790616803,"#AA0055"
"198",271700,271700,4,41.8714404320966,-87.7033887467389,"#AA0055"
"199",690900,690900,2,41.7621423479759,-87.6103458378842,"#3800C6"
"200",230700,230700,2,41.906322742988,-87.7215382974723,"#3800C6"
"201",311000,311000,3,41.8554406581492,-87.6820185810152,"#71008D"
"202",630300,630300,3,41.7987972148735,-87.7086378707526,"#71008D"
"203",431100,431100,2,41.755197169423,-87.5810166880536,"#3800C6"
"204",691000,691000,4,41.7619611135287,-87.6200146989718,"#AA0055"
"205",252000,252000,2,41.8836620072336,-87.7698815533485,"#3800C6"
"206",251200,251200,2,41.8985493965646,-87.7606043278506,"#3800C6"
"207",282700,282700,4,41.8713515047263,-87.688674907458,"#AA0055"
"208",681000,681000,2,41.7760398019997,-87.6495525870999,"#3800C6"
"209",150300,150300,1,41.9605184509967,-87.7622859962868,"#0000FF"
"210",10200,10200,4,42.0160254287492,-87.6773446330232,"#AA0055"
"211",711300,711300,3,41.7335103417168,-87.6672802869447,"#71008D"
"212",490700,490700,4,41.7107380444459,-87.6284185413521,"#AA0055"
"213",271000,271000,1,41.8785494066652,-87.6938318266401,"#0000FF"
"214",690800,690800,4,41.7622433861077,-87.6006272376849,"#AA0055"
"215",231100,231100,3,41.8992506225853,-87.715072694098,"#71008D"
"216",80200,80200,3,41.9075540930205,-87.6309109915753,"#71008D"
"217",81400,81400,1,41.8927748850416,-87.6144632835019,"#0000FF"
"218",430300,430300,4,41.7696518978757,-87.5893427634813,"#AA0055"
"219",241900,241900,5,41.8998795065413,-87.6599128705434,"#E2001C"
"220",670700,670700,4,41.7830688471958,-87.666731821594,"#AA0055"
"221",310500,310500,3,41.8552501216775,-87.6547394942815,"#71008D"
"222",560700,560700,1,41.7964631391828,-87.7575198669942,"#0000FF"
"223",661000,661000,2,41.7618793057582,-87.6849651358888,"#3800C6"
"224",710400,710400,2,41.7539858928456,-87.6709898691201,"#3800C6"
"225",231300,231300,2,41.898888429258,-87.7336899523689,"#3800C6"
"226",590600,590600,3,41.8268330685391,-87.6729255469589,"#71008D"
"227",140600,140600,4,41.9646504965476,-87.7230373813944,"#AA0055"
"228",530400,530400,3,41.6740395429361,-87.6515242811733,"#71008D"
"229",431400,431400,2,41.7579523581875,-87.5523918732811,"#3800C6"
"230",200500,200500,4,41.9153131201828,-87.7338462107937,"#AA0055"
"231",210600,210600,4,41.9356197746311,-87.7124146179617,"#AA0055"
"232",680900,680900,2,41.7764307736865,-87.6376354178629,"#3800C6"
"233",140200,140200,4,41.9707569436591,-87.713023438456,"#AA0055"
"234",260200,260200,4,41.8843342700859,-87.7282271717854,"#AA0055"
"235",243000,243000,5,41.892276763864,-87.6793974823428,"#E2001C"
"236",281600,281600,5,41.8797854844213,-87.6692330292549,"#E2001C"
"237",240900,240900,4,41.9047121171416,-87.7018845659384,"#AA0055"
"238",430900,430900,3,41.7606410177622,-87.5811855616373,"#71008D"
"239",140800,140800,3,41.9645069688459,-87.7027335306407,"#71008D"
"240",302000,302000,3,41.8314960615145,-87.7152535032215,"#71008D"
"241",283900,283900,2,41.8633026892492,-87.6614377559391,"#3800C6"
"242",100400,100400,5,41.9889675638242,-87.8180419557999,"#E2001C"
"243",450100,450100,1,41.7536698848146,-87.5921504405097,"#0000FF"
"244",390700,390700,1,41.8059117464246,-87.5874793364268,"#0000FF"
"245",310600,310600,4,41.8563332594772,-87.6595642045341,"#AA0055"
"246",222500,222500,1,41.9157074156203,-87.6995967924043,"#0000FF"
"247",450200,450200,4,41.7441995608814,-87.5913491169102,"#AA0055"
"248",300500,300500,3,41.8474342522919,-87.7219444684485,"#71008D"
"249",440200,440200,2,41.7438951053479,-87.6098887695253,"#3800C6"
"250",280300,280300,3,41.885217938346,-87.6618731888272,"#71008D"
"251",220600,220600,4,41.9283163434557,-87.7122369285843,"#AA0055"
"252",630700,630700,4,41.7901329319731,-87.6888142817256,"#AA0055"
"253",20100,20100,1,42.0157199614358,-87.6871160055609,"#0000FF"
"254",231500,231500,2,41.8917541935412,-87.7186707958751,"#3800C6"
"255",491100,491100,4,41.699759594728,-87.6377304309949,"#AA0055"
"256",381200,381200,3,41.8085115413214,-87.6139994516568,"#71008D"
"257",690300,690300,2,41.7686672958652,-87.6289832713561,"#3800C6"
"258",221000,221000,1,41.9209609299511,-87.7152528215373,"#0000FF"
"259",320500,320500,4,41.8745019021359,-87.6320257695403,"#AA0055"
"260",71000,71000,5,41.9217015510809,-87.6559118519387,"#E2001C"
"261",561000,561000,1,41.7885024847635,-87.7915034582662,"#0000FF"
"262",10400,10400,3,42.0047648048055,-87.6591225508186,"#71008D"
"263",50200,50200,5,41.9577355985815,-87.6837181039136,"#E2001C"
"264",190200,190200,3,41.9351139679009,-87.7516489612155,"#71008D"
"265",31400,31400,1,41.962406813138,-87.6434223130439,"#0000FF"
"266",570100,570100,1,41.8162647990797,-87.7189271509212,"#0000FF"
"267",680600,680600,4,41.7832818957935,-87.6521653994656,"#AA0055"
"268",681200,681200,2,41.7691898264959,-87.6384968711258,"#3800C6"
"269",62100,62100,4,41.942691874423,-87.6517705084855,"#AA0055"
"270",671400,671400,2,41.7737916765805,-87.6761777865655,"#3800C6"
"271",243200,243200,3,41.8924332138004,-87.6696239331893,"#71008D"
"272",611400,611400,4,41.804892963366,-87.6721661096423,"#AA0055"
"273",30400,30400,1,41.986953117649,-87.6720810073314,"#0000FF"
"274",630500,630500,4,41.7974277423017,-87.6890166441051,"#AA0055"
"275",610100,610100,5,41.8198841955828,-87.6409232025664,"#E2001C"
"276",242000,242000,3,41.8997374470103,-87.6649539201557,"#71008D"
"277",281700,281700,5,41.8789848541305,-87.6618976673978,"#E2001C"
"278",610800,610800,1,41.8126784315839,-87.6384880390914,"#0000FF"
"279",510300,510300,2,41.7157610648673,-87.5748881937045,"#3800C6"
"280",671100,671100,4,41.7767776723942,-87.6617163123447,"#AA0055"
"281",292200,292200,2,41.8566586137009,-87.7157325945494,"#3800C6"
